reserva_id,cliente_id,data_checkin,data_checkout,noites,antecedencia_dias,num_hospedes,tipo_quarto,motivo_viagem,canal_reserva,regime,mes,epoca,fim_semana,feriado,evento_cidade,foi_spa,num_massagens,pediu_room_service,num_vezes_room_service,late_checkout,estacionamento,transfer_aeroporto,consumo_minibar,consumo_bar_hotel,gasto_spa,rating_limpeza,rating_staff,rating_localizacao,rating_geral,fez_reclamacao,preco_quarto_noite,gasto_quarto_total,gasto_extras_total,gasto_total,desconto_aplicado
H004937,C004910,2023-03-26,2023-03-30,4,13,2,Standard,Lazer,Expedia,Pequeno_Almoco,3,Baixa,Sim,Não,Não,Não,0,Não,0,Não,Não,Sim,0.0,5.11,0.0,5.0,5.0,5,4,Não,92.88,371.52,55.11,426.63,0.0
H000849,C004065,2023-04-24,2023-04-28,4,24,3,Familiar,Business,Booking,Meia_Pensao,4,Media,Não,Não,Não,Não,0,Sim,1,Não,Não,Não,38.48,0.0,0.0,4.0,4.0,4,3,Não,171.34,685.36,365.0,1050.36,0.0
H003001,C001588,2023-10-21,2023-10-25,4,30,2,Superior,Evento,Direto,Pequeno_Almoco,10,Media,Sim,Não,Não,Sim,1,Não,0,Não,Não,Não,21.23,9.41,45.55,5.0,5.0,5,4,Não,155.84,623.36,76.19,699.55,0.0
H002120,C006611,2023-03-15,2023-03-17,2,29,2,Superior,Lazer,Booking,Meia_Pensao,3,Baixa,Não,Não,Não,Sim,1,Não,0,Não,Sim,Sim,29.77,62.2,81.81,5.0,4.0,5,4,Não,111.97,223.94,339.78,563.72,0.0
H005186,C002622,2024-03-16,2024-03-19,3,16,3,Familiar,Lazer,Booking,Pequeno_Almoco,3,Baixa,Sim,Não,Não,Não,0,Não,0,Não,Não,Sim,0.0,16.34,0.0,5.0,4.0,5,4,Não,176.72,530.16,66.34,596.5,0.0
H002555,C007047,2024-10-11,2024-10-14,3,10,2,Standard,Business,Booking,Pequeno_Almoco,10,Media,Não,Não,Não,Não,0,Não,0,Sim,Não,Sim,23.08,0.0,0.0,4.0,5.0,5,2,Sim,86.53,259.59,73.08,332.67,0.0
H000545,C003106,2024-07-22,2024-07-25,3,67,2,Superior,Business,Booking,Meia_Pensao,7,Alta,Não,Não,Não,Não,0,Sim,1,Não,Sim,Não,0.0,0.0,0.0,3.0,5.0,4,5,Não,164.58,493.74,190.67,684.41,0.0
H001966,C000956,2023-08-17,2023-08-18,1,22,2,Superior,Lazer,Direto,Pequeno_Almoco,8,Alta,Não,Não,Sim,Não,0,Não,0,Sim,Não,Não,22.82,0.0,0.0,5.0,5.0,5,5,Não,197.85,197.85,22.82,220.67,0.0
H003955,C000800,2024-10-29,2024-10-31,2,10,3,Familiar,Business,Booking,Meia_Pensao,10,Media,Não,Não,Não,Não,0,Não,0,Não,Não,Não,0.0,37.52,0.0,4.0,5.0,3,5,Não,186.94,373.88,187.52,561.4,0.0
H002125,C004361,2024-12-13,2024-12-16,3,4,3,Superior,Business,Agencia,Pequeno_Almoco,12,Baixa,Não,Não,Não,Não,0,Não,0,Não,Sim,Sim,0.0,15.9,0.0,3.0,5.0,5,3,Não,124.11,372.33,89.9,462.23,0.0
H003245,C007998,2024-07-22,2024-07-25,3,53,3,Familiar,Lazer,Booking,Pequeno_Almoco,7,Alta,Não,Não,Não,Não,0,Sim,1,Não,Sim,Não,12.53,0.0,0.0,4.0,5.0,4,5,Não,203.98,611.94,56.28,668.22,48.14
H002046,C007431,2024-04-16,2024-04-22,6,12,2,Standard,Evento,Booking,Pequeno_Almoco,4,Media,Não,Não,Não,Sim,3,Não,0,Não,Não,Sim,11.43,0.0,169.6,5.0,5.0,5,4,Não,87.2,523.2,231.03,754.23,0.0
H002485,C006014,2023-09-10,2023-09-14,4,108,1,Superior,Lazer,Agencia,Pequeno_Almoco,9,Alta,Sim,Não,Não,Não,0,Não,0,Não,Não,Sim,0.0,22.16,0.0,4.0,4.0,5,4,Não,198.99,795.96,72.16,868.12,0.0
H002642,C005145,2023-03-07,2023-03-13,6,24,2,Standard,Business,Direto,Pequeno_Almoco,3,Baixa,Não,Não,Não,Não,0,Não,0,Sim,Não,Não,21.13,8.2,0.0,4.0,4.0,5,5,Não,80.51,483.06,29.33,512.39,0.0
H004378,C004361,2024-05-17,2024-05-18,1,40,1,Standard,Business,Expedia,Pequeno_Almoco,5,Media,Não,Não,Não,Não,0,Não,0,Não,Não,Sim,0.0,0.0,0.0,4.0,4.0,5,3,Sim,84.67,84.67,50.0,134.67,0.0
H002708,C000094,2024-07-13,2024-07-17,4,114,2,Standard,Lazer,Expedia,Pequeno_Almoco,7,Alta,Sim,Não,Não,Sim,1,Não,0,Sim,Sim,Não,0.0,25.39,72.8,5.0,5.0,4,4,Não,134.06,536.24,130.19,666.43,0.0
H000352,C006570,2024-10-19,2024-10-22,3,19,2,Suite,Lazer,Booking,Meia_Pensao,10,Media,Sim,Não,Não,Sim,1,Sim,1,Não,Sim,Não,17.09,0.0,57.84,5.0,5.0,5,4,Não,268.54,805.62,277.08,1082.7,0.0
H004193,C003020,2024-04-18,2024-04-20,2,58,3,Superior,Lazer,Expedia,Pequeno_Almoco,4,Media,Não,Não,Não,Não,0,Não,0,Não,Sim,Não,0.0,50.35,0.0,5.0,5.0,3,3,Não,145.22,290.44,66.35,356.79,0.0
H004249,C002227,2024-05-03,2024-05-04,1,30,2,Superior,Lazer,Expedia,Pequeno_Almoco,5,Media,Não,Não,Não,Sim,2,Sim,4,Não,Sim,Não,35.48,0.0,148.09,4.0,5.0,4,5,Não,141.86,141.86,275.95,417.81,0.0
H003672,C003485,2023-12-29,2023-12-31,2,15,2,Superior,Business,Booking,Pequeno_Almoco,12,Baixa,Não,Não,Sim,Não,0,Sim,2,Não,Não,Sim,0.0,0.0,0.0,3.0,4.0,4,4,Não,146.93,293.86,82.95,376.81,0.0
H002906,C006486,2023-08-18,2023-08-21,3,75,2,Superior,Business,Direto,Pequeno_Almoco,8,Alta,Não,Não,Não,Sim,1,Sim,1,Não,Não,Não,6.47,60.21,117.76,4.0,4.0,4,5,Não,176.08,528.24,212.33,740.57,0.0
H004329,C003448,2024-10-17,2024-10-19,2,24,2,Standard,Business,Booking,Pequeno_Almoco,10,Media,Não,Não,Sim,Não,0,Não,0,Sim,Não,Sim,6.73,0.0,0.0,3.0,4.0,4,2,Sim,118.19,236.38,56.73,293.11,0.0
H001972,C005211,2024-09-25,2024-09-30,5,76,3,Familiar,Lazer,Booking,Pequeno_Almoco,9,Alta,Não,Não,Não,Não,0,Não,0,Sim,Sim,Não,0.0,0.0,0.0,5.0,4.0,5,5,Não,197.21,986.05,40.0,1026.05,0.0
H002550,C004279,2024-07-15,2024-07-18,3,34,3,Superior,Evento,Booking,Pequeno_Almoco,7,Alta,Não,Não,Não,Sim,1,Não,0,Não,Sim,Sim,0.0,0.0,64.28,5.0,5.0,4,4,Não,183.95,551.85,138.28,690.13,0.0
H001034,C004911,2023-01-25,2023-01-29,4,11,2,Standard,Lazer,Booking,Pequeno_Almoco,1,Baixa,Não,Não,Não,Sim,1,Não,0,Não,Não,Sim,36.9,0.0,52.26,4.0,5.0,5,4,Não,80.99,323.96,139.16,463.12,0.0
H003049,C007424,2023-03-26,2023-03-30,4,15,3,Familiar,Lazer,Booking,Pequeno_Almoco,3,Baixa,Sim,Não,Não,Sim,1,Não,0,Sim,Não,Não,0.0,0.0,48.11,5.0,5.0,5,5,Não,162.65,650.6,48.11,698.71,0.0
H000080,C007324,2024-08-23,2024-08-25,2,94,2,Standard,Lazer,Booking,Pequeno_Almoco,8,Alta,Não,Não,Não,Sim,1,Não,0,Não,Sim,Não,0.0,33.46,74.73,5.0,5.0,4,5,Não,121.86,243.72,124.19,367.91,38.8
H001048,C007760,2024-03-06,2024-03-08,2,46,2,Standard,Lazer,Direto,Pequeno_Almoco,3,Baixa,Não,Não,Não,Não,0,Não,0,Não,Sim,Não,22.34,0.0,0.0,5.0,3.0,4,5,Não,73.04,146.08,38.34,184.42,18.54
H001336,C002339,2024-08-29,2024-09-01,3,57,3,Familiar,Lazer,Booking,Meia_Pensao,8,Alta,Não,Não,Não,Não,0,Não,0,Não,Sim,Sim,0.0,0.0,0.0,4.0,4.0,4,5,Não,204.3,612.9,299.0,911.9,0.0
H004697,C004765,2024-03-03,2024-03-05,2,40,2,Superior,Evento,Direto,Pequeno_Almoco,3,Baixa,Sim,Não,Não,Não,0,Não,0,Não,Não,Não,5.56,0.0,0.0,4.0,5.0,5,1,Não,120.38,240.76,5.56,246.32,0.0
H004221,C001324,2024-10-07,2024-10-11,4,38,3,Superior,Business,Agencia,Pequeno_Almoco,10,Media,Não,Não,Não,Sim,2,Não,0,Não,Sim,Sim,0.0,0.0,119.96,4.0,4.0,5,3,Não,129.76,519.04,201.96,721.0,68.89
H001438,C000279,2023-11-22,2023-11-23,1,21,1,Suite,Lazer,Booking,Pequeno_Almoco,11,Baixa,Não,Não,Não,Não,0,Não,0,Sim,Não,Não,39.26,41.55,0.0,5.0,4.0,5,5,Não,199.91,199.91,80.81,280.72,27.61
H000927,C003232,2024-04-14,2024-04-19,5,6,3,Familiar,Lazer,Agencia,Pequeno_Almoco,4,Media,Sim,Não,Não,Não,0,Não,0,Sim,Sim,Não,0.0,59.66,0.0,4.0,4.0,4,5,Não,170.91,854.55,99.66,954.21,0.0
H004404,C005214,2023-03-05,2023-03-07,2,3,2,Superior,Lazer,Booking,Pequeno_Almoco,3,Baixa,Sim,Não,Não,Não,0,Sim,3,Não,Não,Não,0.0,24.73,0.0,5.0,4.0,4,3,Não,141.42,282.84,106.4,389.24,0.0
H003539,C005708,2023-09-11,2023-09-12,1,58,2,Superior,Lazer,Expedia,Pequeno_Almoco,9,Alta,Não,Não,Não,Sim,1,Não,0,Não,Não,Não,0.0,0.0,46.45,5.0,4.0,4,4,Não,180.51,180.51,46.45,226.96,0.0
H001074,C001406,2024-06-17,2024-06-26,9,172,1,Standard,Lazer,Direto,Pequeno_Almoco,6,Alta,Não,Não,Não,Não,0,Não,0,Sim,Sim,Sim,0.0,0.0,0.0,4.0,4.0,4,4,Não,113.0,1017.0,122.0,1139.0,119.97
H000890,C001685,2024-01-22,2024-01-28,6,62,2,Standard,Lazer,Expedia,Pequeno_Almoco,1,Baixa,Não,Não,Não,Sim,1,Não,0,Não,Sim,Sim,34.76,0.0,142.99,5.0,5.0,4,5,Não,85.03,510.18,275.75,785.93,0.0
H002440,C004592,2024-03-10,2024-03-11,1,4,4,Superior,Lazer,Expedia,Pequeno_Almoco,3,Baixa,Sim,Não,Não,Sim,2,Sim,2,Sim,Não,Sim,38.91,45.03,99.79,5.0,5.0,5,5,Não,144.34,144.34,287.0,431.34,0.0
H004307,C002157,2024-12-27,2024-12-29,2,9,2,Superior,Business,Booking,Pequeno_Almoco,12,Baixa,Não,Não,Sim,Não,0,Sim,1,Não,Não,Não,18.72,0.0,0.0,4.0,4.0,5,5,Não,136.21,272.42,36.71,309.13,0.0
H002415,C005443,2023-12-22,2023-12-27,5,5,2,Standard,Business,Booking,Pequeno_Almoco,12,Baixa,Não,Não,Sim,Não,0,Não,0,Sim,Sim,Não,0.0,0.0,0.0,3.0,4.0,5,2,Não,100.23,501.15,40.0,541.15,0.0
H002585,C003275,2023-11-17,2023-11-20,3,14,2,Standard,Lazer,Booking,Pequeno_Almoco,11,Baixa,Não,Não,Não,Não,0,Não,0,Sim,Não,Não,23.67,0.0,0.0,3.0,3.0,4,5,Não,73.71,221.13,23.67,244.8,0.0
H001859,C004870,2023-06-16,2023-06-18,2,70,3,Suite,Lazer,Booking,Pequeno_Almoco,6,Alta,Não,Não,Não,Sim,1,Sim,1,Sim,Sim,Não,0.0,0.0,59.89,4.0,5.0,5,5,Não,291.45,582.9,92.24,675.14,0.0
H004766,C002845,2023-07-05,2023-07-08,3,19,2,Standard,Business,Booking,Pequeno_Almoco,7,Alta,Não,Não,Não,Não,0,Não,0,Não,Não,Não,22.42,0.0,0.0,5.0,4.0,4,2,Sim,114.58,343.74,22.42,366.16,0.0
H003730,C003528,2023-03-28,2023-03-29,1,11,2,Superior,Lazer,Booking,Pequeno_Almoco,3,Baixa,Não,Não,Sim,Sim,1,Sim,4,Não,Não,Não,16.53,0.0,56.36,4.0,5.0,4,5,Não,152.09,152.09,137.68,289.77,0.0
H003298,C003617,2023-09-30,2023-10-02,2,88,2,Suite,Lazer,Booking,Pequeno_Almoco,9,Alta,Sim,Não,Não,Não,0,Não,0,Sim,Sim,Não,0.0,0.0,0.0,4.0,5.0,4,4,Não,297.63,595.26,16.0,611.26,0.0
H001821,C005534,2023-02-03,2023-02-07,4,29,2,Standard,Lazer,Booking,Pequeno_Almoco,2,Baixa,Não,Não,Não,Sim,1,Não,0,Sim,Não,Não,8.48,0.0,44.72,5.0,5.0,5,2,Sim,83.12,332.48,53.2,385.68,0.0
H002499,C002976,2024-08-31,2024-09-02,2,59,3,Familiar,Lazer,Direto,Meia_Pensao,8,Alta,Sim,Não,Não,Não,0,Não,0,Não,Sim,Sim,14.5,0.0,0.0,4.0,4.0,4,5,Não,245.9,491.8,230.5,722.3,0.0
H003081,C005238,2023-11-25,2023-11-29,4,14,2,Superior,Lazer,Expedia,Meia_Pensao,11,Baixa,Sim,Não,Não,Sim,2,Sim,2,Não,Não,Não,0.0,0.0,113.46,5.0,4.0,4,5,Não,125.68,502.72,344.87,847.59,0.0
H002230,C000485,2024-04-10,2024-04-11,1,14,1,Superior,Lazer,Direto,Pequeno_Almoco,4,Media,Não,Não,Não,Não,0,Sim,2,Não,Não,Sim,22.95,26.66,0.0,4.0,5.0,5,4,Não,146.73,146.73,136.1,282.83,0.0
H001613,C007080,2024-12-15,2024-12-17,2,25,1,Superior,Evento,Booking,Pequeno_Almoco,12,Baixa,Sim,Não,Não,Sim,1,Não,0,Não,Não,Não,13.39,0.0,119.05,5.0,5.0,5,4,Não,132.05,264.1,132.44,396.54,22.94
H003067,C003845,2023-02-01,2023-02-03,2,45,1,Standard,Lazer,Booking,Pequeno_Almoco,2,Baixa,Não,Não,Não,Sim,1,Não,0,Não,Sim,Não,0.0,0.0,48.31,5.0,4.0,5,4,Não,76.93,153.86,64.31,218.17,0.0
H000426,C005716,2023-12-02,2023-12-07,5,35,2,Superior,Business,Direto,Pequeno_Almoco,12,Baixa,Sim,Não,Não,Sim,2,Sim,3,Sim,Sim,Sim,24.73,0.0,150.34,5.0,5.0,4,4,Não,137.35,686.75,370.07,1056.82,0.0
H000706,C004620,2024-01-20,2024-01-21,1,21,2,Superior,Lazer,Direto,Pequeno_Almoco,1,Baixa,Sim,Não,Não,Não,0,Sim,1,Sim,Não,Não,0.0,0.0,0.0,4.0,4.0,4,5,Não,119.39,119.39,21.74,141.13,0.0
H003741,C002740,2024-02-09,2024-02-13,4,4,1,Suite,Lazer,Direto,Pequeno_Almoco,2,Baixa,Não,Não,Não,Sim,1,Não,0,Sim,Sim,Sim,0.0,11.52,84.49,5.0,5.0,5,4,Não,213.29,853.16,178.01,1031.17,105.13
H002727,C007617,2023-01-30,2023-02-02,3,5,1,Superior,Lazer,Direto,Pequeno_Almoco,1,Baixa,Não,Não,Não,Sim,1,Não,0,Não,Não,Sim,0.0,27.96,41.68,4.0,4.0,4,4,Não,113.3,339.9,119.64,459.54,42.12
H003408,C003582,2023-07-11,2023-07-16,5,52,4,Familiar,Evento,Direto,Pequeno_Almoco,7,Alta,Não,Não,Não,Sim,3,Não,0,Sim,Sim,Não,0.0,35.06,184.56,5.0,4.0,5,4,Não,230.76,1153.8,259.62,1413.42,105.06
H004232,C003132,2023-02-09,2023-02-17,8,3,4,Familiar,Business,Direto,Pequeno_Almoco,2,Baixa,Não,Não,Não,Não,0,Não,0,Não,Sim,Não,7.99,0.0,0.0,5.0,5.0,4,3,Não,136.12,1088.96,71.99,1160.95,130.17
H001618,C002340,2024-04-28,2024-05-01,3,22,2,Standard,Lazer,Booking,Pequeno_Almoco,4,Media,Sim,Não,Não,Não,0,Não,0,Não,Sim,Sim,0.0,8.14,0.0,4.0,3.0,5,2,Sim,95.3,285.9,82.14,368.04,0.0
H003483,C005225,2023-02-11,2023-02-15,4,4,2,Standard,Business,Agencia,Pequeno_Almoco,2,Baixa,Sim,Não,Não,Não,0,Sim,1,Sim,Não,Não,0.0,44.0,0.0,3.0,4.0,5,4,Não,95.5,382.0,63.79,445.79,0.0
H005160,C000881,2023-05-12,2023-05-16,4,23,3,Familiar,Lazer,Booking,Pequeno_Almoco,5,Media,Não,Não,Não,Não,0,Não,0,Não,Sim,Não,9.74,0.0,0.0,4.0,4.0,4,4,Não,178.88,715.52,41.74,757.26,0.0
H000738,C005088,2024-10-24,2024-10-26,2,41,1,Superior,Business,Booking,Pequeno_Almoco,10,Media,Não,Não,Não,Sim,1,Sim,3,Não,Não,Não,0.0,0.0,53.18,4.0,5.0,4,4,Sim,138.69,277.38,115.25,392.63,0.0
H004777,C000869,2023-01-26,2023-01-28,2,5,2,Superior,Business,Direto,Pequeno_Almoco,1,Baixa,Não,Não,Não,Sim,1,Sim,4,Não,Não,Não,35.87,0.0,125.34,5.0,4.0,4,4,Não,130.3,260.6,232.04,492.64,0.0
H005301,C005703,2023-09-22,2023-09-27,5,23,3,Superior,Business,Booking,Pequeno_Almoco,9,Alta,Não,Não,Não,Sim,2,Não,0,Não,Sim,Não,0.0,0.0,150.57,5.0,3.0,4,4,Não,184.71,923.55,190.57,1114.12,0.0
H002975,C000351,2023-07-27,2023-07-29,2,76,2,Standard,Lazer,Direto,Pequeno_Almoco,7,Alta,Não,Não,Não,Não,0,Não,0,Sim,Sim,Não,24.96,17.86,0.0,3.0,4.0,4,3,Não,114.94,229.88,58.82,288.7,0.0
H004401,C005795,2023-07-26,2023-07-29,3,76,2,Suite,Lazer,Expedia,Pequeno_Almoco,7,Alta,Não,Não,Não,Sim,1,Não,0,Não,Não,Sim,5.39,8.32,45.83,5.0,5.0,5,5,Não,275.93,827.79,109.54,937.33,0.0
H000280,C006478,2023-10-22,2023-10-29,7,20,2,Standard,Lazer,Direto,Pequeno_Almoco,10,Media,Sim,Não,Não,Sim,1,Não,0,Não,Sim,Não,0.0,31.26,57.44,4.0,4.0,4,4,Não,97.97,685.79,144.7,830.49,0.0
H000016,C006657,2024-01-12,2024-01-16,4,48,2,Superior,Lazer,Booking,Pequeno_Almoco,1,Baixa,Não,Não,Não,Não,0,Não,0,Não,Sim,Sim,10.82,0.0,0.0,4.0,5.0,3,4,Não,128.61,514.44,92.82,607.26,0.0
H002639,C001139,2024-06-09,2024-06-15,6,31,2,Standard,Lazer,Direto,Pequeno_Almoco,6,Alta,Sim,Não,Sim,Não,0,Não,0,Não,Não,Não,11.79,5.97,0.0,5.0,5.0,4,4,Não,146.64,879.84,17.76,897.6,128.92
H001871,C004704,2024-04-30,2024-05-04,4,50,2,Standard,Business,Direto,Pequeno_Almoco,4,Media,Não,Não,Não,Sim,2,Sim,5,Sim,Sim,Sim,0.0,49.75,121.23,4.0,5.0,4,4,Não,97.27,389.08,349.12,738.2,0.0
H005417,C005617,2024-02-11,2024-02-14,3,9,3,Superior,Lazer,Booking,Pequeno_Almoco,2,Baixa,Sim,Não,Não,Sim,1,Não,0,Não,Não,Não,37.27,0.0,37.64,4.0,5.0,5,5,Não,141.83,425.49,74.91,500.4,0.0
H000765,C002481,2024-09-10,2024-09-13,3,26,2,Standard,Lazer,Direto,Pequeno_Almoco,9,Alta,Não,Não,Não,Não,0,Não,0,Não,Sim,Não,0.0,0.0,0.0,5.0,5.0,4,5,Não,123.12,369.36,24.0,393.36,50.07
H002410,C006171,2024-01-13,2024-01-15,2,22,3,Superior,Lazer,Expedia,Pequeno_Almoco,1,Baixa,Sim,Não,Não,Não,0,Não,0,Sim,Sim,Sim,0.0,0.0,0.0,5.0,4.0,4,5,Não,129.34,258.68,66.0,324.68,41.71
H004762,C007788,2024-06-28,2024-06-30,2,90,3,Familiar,Lazer,Direto,Pequeno_Almoco,6,Alta,Não,Não,Não,Não,0,Não,0,Não,Sim,Não,7.53,23.99,0.0,4.0,4.0,4,5,Não,206.53,413.06,47.52,460.58,0.0
H005438,C004817,2023-01-04,2023-01-07,3,26,4,Familiar,Business,Booking,Pequeno_Almoco,1,Baixa,Não,Não,Não,Sim,1,Sim,2,Não,Sim,Sim,23.35,0.0,63.15,4.0,5.0,4,4,Não,140.76,422.28,208.07,630.35,0.0
