cliente_id,idade,genero,nacionalidade,distrito_residencia,cliente_desde,tipo_cliente,cliente_habitual,ano_primeira_interacao,mes_primeira_interacao,dia_primeira_interacao,cliente_habitual_bool,anos_desde_primeira_interacao,faixa_etaria
C001076,34,M,UK,Estrangeiro,2023-05-14,Hotel,Não,2023,5,14,False,2.4,25-34
C006399,56,F,FR,Estrangeiro,2024-02-18,Restaurante,Não,2024,2,18,False,1.7,55-64
C004982,56,M,PT,Lisboa,2024-04-23,Restaurante,Não,2024,4,23,False,1.5,55-64
C006229,55,F,UK,Estrangeiro,2024-10-28,Hotel,Não,2024,10,28,False,1.0,55-64
C002922,53,F,PT,Coimbra,2024-08-24,Ambos,Não,2024,8,24,False,1.1,45-54
C004020,40,F,ES,Estrangeiro,2023-01-20,Hotel,Não,2023,1,20,False,2.7,35-44
C004332,23,F,PT,Lisboa,2024-02-29,Ambos,Não,2024,2,29,False,1.6,18-24
C007000,48,M,PT,Lisboa,2024-10-16,Restaurante,Não,2024,10,16,False,1.0,45-54
C001323,40,M,UK,Estrangeiro,2023-10-04,Restaurante,Não,2023,10,4,False,2.0,35-44
C007732,45,F,FR,Estrangeiro,2024-02-23,Restaurante,Sim,2024,2,23,True,1.7,45-54
C002253,18,F,UK,Estrangeiro,2023-08-06,Ambos,Sim,2023,8,6,True,2.2,18-24
C006655,33,F,PT,Faro,2023-03-23,Hotel,Não,2023,3,23,False,2.6,25-34
C007245,53,M,PT,Lisboa,2024-05-19,Ambos,Sim,2024,5,19,True,1.4,45-54
C000867,46,F,PT,Braga,2024-03-21,Restaurante,Não,2024,3,21,False,1.6,45-54
C005592,37,M,UK,Estrangeiro,2023-06-11,Ambos,Sim,2023,6,11,True,2.4,35-44
C002466,56,F,Outro,Estrangeiro,2023-07-26,Hotel,Não,2023,7,26,False,2.2,55-64
C000466,38,M,DE,Estrangeiro,2023-05-27,Hotel,Não,2023,5,27,False,2.4,35-44
C002883,32,F,ES,Estrangeiro,2023-01-05,Hotel,Não,2023,1,5,False,2.8,25-34
C004962,25,M,Outro,Estrangeiro,2024-12-22,Hotel,Não,2024,12,22,False,0.8,25-34
C007043,49,M,PT,Porto,2023-07-25,Hotel,Não,2023,7,25,False,2.2,45-54
C006241,38,F,ES,Estrangeiro,2023-03-15,Restaurante,Não,2023,3,15,False,2.6,35-44
C005448,70,F,FR,Estrangeiro,2023-06-30,Restaurante,Não,2023,6,30,False,2.3,65+
C001503,28,M,ES,Estrangeiro,2024-12-01,Hotel,Não,2024,12,1,False,0.9,25-34
C003916,40,F,PT,Lisboa,2024-12-11,Restaurante,Não,2024,12,11,False,0.9,35-44
C003263,27,M,PT,Outro,2023-10-22,Restaurante,Sim,2023,10,22,True,2.0,25-34
C000264,25,M,FR,Estrangeiro,2024-03-20,Hotel,Sim,2024,3,20,True,1.6,25-34
C003807,42,M,FR,Estrangeiro,2023-03-14,Hotel,Não,2023,3,14,False,2.6,35-44
C004085,62,M,PT,Porto,2023-01-01,Restaurante,Não,2023,1,1,False,2.8,55-64
C007840,36,F,DE,Estrangeiro,2023-04-16,Restaurante,Não,2023,4,16,False,2.5,35-44
C001812,44,F,PT,Braga,2024-01-10,Hotel,Não,2024,1,10,False,1.8,35-44
C001145,39,M,PT,Lisboa,2024-07-23,Restaurante,Sim,2024,7,23,True,1.2,35-44
C005828,42,F,PT,Porto,2023-03-10,Hotel,Não,2023,3,10,False,2.6,35-44
C002150,18,M,FR,Estrangeiro,2024-07-24,Hotel,Não,2024,7,24,False,1.2,18-24
C003930,44,M,PT,Porto,2024-09-25,Restaurante,Sim,2024,9,25,True,1.1,35-44
C006320,40,M,ES,Estrangeiro,2024-07-25,Hotel,Não,2024,7,25,False,1.2,35-44
C003291,64,M,PT,Braga,2024-02-05,Hotel,Não,2024,2,5,False,1.7,55-64
C000683,33,F,PT,Aveiro,2024-12-06,Restaurante,Não,2024,12,6,False,0.9,25-34
C002841,46,M,DE,Estrangeiro,2024-01-06,Ambos,Sim,2024,1,6,True,1.8,45-54
C001003,42,F,PT,Porto,2023-03-07,Restaurante,Sim,2023,3,7,True,2.6,35-44
C006756,18,M,UK,Estrangeiro,2023-07-26,Hotel,Não,2023,7,26,False,2.2,18-24
C005130,43,M,PT,Porto,2024-10-18,Restaurante,Não,2024,10,18,False,1.0,35-44
C004291,50,F,PT,Lisboa,2024-12-30,Restaurante,Não,2024,12,30,False,0.8,45-54
C002174,44,F,PT,Porto,2024-06-24,Ambos,Não,2024,6,24,False,1.3,35-44
C000484,45,F,ES,Estrangeiro,2024-01-13,Restaurante,Sim,2024,1,13,True,1.8,45-54
C003814,43,F,PT,Aveiro,2023-09-16,Restaurante,Não,2023,9,16,False,2.1,35-44
C004415,45,F,FR,Estrangeiro,2024-09-27,Restaurante,Não,2024,9,27,False,1.1,45-54
C000519,43,F,PT,Lisboa,2023-01-24,Restaurante,Não,2023,1,24,False,2.7,35-44
C006989,41,F,PT,Braga,2024-08-13,Restaurante,Não,2024,8,13,False,1.2,35-44
C001346,18,M,FR,Estrangeiro,2024-11-08,Ambos,Sim,2024,11,8,True,0.9,18-24
C000697,47,M,PT,Lisboa,2024-07-22,Restaurante,Sim,2024,7,22,True,1.2,45-54
C001010,33,F,Outro,Estrangeiro,2023-09-23,Restaurante,Não,2023,9,23,False,2.1,25-34
C006318,33,F,PT,Lisboa,2024-01-27,Ambos,Sim,2024,1,27,True,1.7,25-34
C006596,63,F,ES,Estrangeiro,2024-05-02,Restaurante,Não,2024,5,2,False,1.5,55-64
C002771,38,M,PT,Lisboa,2023-05-23,Restaurante,Não,2023,5,23,False,2.4,35-44
C001075,57,F,PT,Lisboa,2024-01-03,Hotel,Não,2024,1,3,False,1.8,55-64
C001340,44,F,PT,Braga,2024-02-19,Ambos,Sim,2024,2,19,True,1.7,35-44
C002987,40,M,ES,Estrangeiro,2024-03-08,Restaurante,Não,2024,3,8,False,1.6,35-44
C007710,27,M,UK,Estrangeiro,2024-04-26,Hotel,Não,2024,4,26,False,1.5,25-34
C006748,50,F,PT,Porto,2023-01-08,Restaurante,Não,2023,1,8,False,2.8,45-54
C004422,24,M,Outro,Estrangeiro,2023-08-21,Ambos,Não,2023,8,21,False,2.2,18-24
C003393,40,M,PT,Coimbra,2024-01-30,Ambos,Sim,2024,1,30,True,1.7,35-44
C001484,35,M,PT,Porto,2023-07-25,Restaurante,Sim,2023,7,25,True,2.2,35-44
C004862,28,F,PT,Lisboa,2024-04-27,Restaurante,Não,2024,4,27,False,1.5,25-34
C001935,80,F,ES,Estrangeiro,2023-07-03,Hotel,Não,2023,7,3,False,2.3,65+
C001035,34,M,FR,Estrangeiro,2023-12-19,Restaurante,Não,2023,12,19,False,1.8,25-34
C005485,18,M,UK,Estrangeiro,2023-07-24,Restaurante,Não,2023,7,24,False,2.2,18-24
C002479,20,F,PT,Lisboa,2024-02-09,Restaurante,Não,2024,2,9,False,1.7,18-24
C000350,38,M,FR,Estrangeiro,2023-08-09,Restaurante,Sim,2023,8,9,True,2.2,35-44
C004394,33,F,ES,Estrangeiro,2024-07-13,Restaurante,Não,2024,7,13,False,1.3,25-34
C004353,38,M,PT,Porto,2023-10-18,Hotel,Não,2023,10,18,False,2.0,35-44
C007558,41,M,FR,Estrangeiro,2023-03-20,Restaurante,Sim,2023,3,20,True,2.6,35-44
C001062,18,F,ES,Estrangeiro,2024-04-12,Restaurante,Não,2024,4,12,False,1.5,18-24
C000880,61,F,UK,Estrangeiro,2024-07-23,Restaurante,Não,2024,7,23,False,1.2,55-64
C005603,38,F,UK,Estrangeiro,2023-03-07,Restaurante,Não,2023,3,7,False,2.6,35-44
C002543,38,F,PT,Porto,2023-04-02,Restaurante,Não,2023,4,2,False,2.5,35-44
C006424,44,M,FR,Estrangeiro,2023-03-02,Hotel,Não,2023,3,2,False,2.6,35-44
C006745,25,F,PT,Braga,2024-06-19,Hotel,Não,2024,6,19,False,1.3,25-34
C001851,31,M,ES,Estrangeiro,2023-08-16,Restaurante,Sim,2023,8,16,True,2.2,25-34
C005403,50,F,Outro,Estrangeiro,2023-09-19,Restaurante,Não,2023,9,19,False,2.1,45-54
C001678,66,M,ES,Estrangeiro,2023-10-26,Restaurante,Não,2023,10,26,False,2.0,65+
C001836,47,M,Outro,Estrangeiro,2024-12-26,Hotel,Não,2024,12,26,False,0.8,45-54
C007112,44,F,DE,Estrangeiro,2024-07-23,Hotel,Não,2024,7,23,False,1.2,35-44
C004953,54,F,PT,Coimbra,2023-09-10,Hotel,Não,2023,9,10,False,2.1,45-54
C004705,51,F,ES,Estrangeiro,2023-03-18,Hotel,Não,2023,3,18,False,2.6,45-54
C005200,56,M,PT,Outro,2024-11-07,Restaurante,Não,2024,11,7,False,0.9,55-64
C000458,25,F,ES,Estrangeiro,2023-07-04,Ambos,Sim,2023,7,4,True,2.3,25-34
C004648,41,F,UK,Estrangeiro,2023-12-31,Hotel,Não,2023,12,31,False,1.8,35-44
C006508,49,F,PT,Porto,2024-03-20,Restaurante,Não,2024,3,20,False,1.6,45-54
C003183,24,M,PT,Lisboa,2024-01-16,Restaurante,Não,2024,1,16,False,1.8,18-24
C005338,29,F,PT,Lisboa,2023-03-21,Restaurante,Não,2023,3,21,False,2.6,25-34
C001946,36,F,PT,Lisboa,2024-02-03,Hotel,Não,2024,2,3,False,1.7,35-44
C006125,66,M,Outro,Estrangeiro,2023-07-26,Restaurante,Não,2023,7,26,False,2.2,65+
C003264,60,F,Outro,Estrangeiro,2023-11-30,Ambos,Sim,2023,11,30,True,1.9,55-64
C006523,36,F,PT,Aveiro,2024-11-14,Restaurante,Não,2024,11,14,False,0.9,35-44
C006522,40,F,ES,Estrangeiro,2024-11-18,Restaurante,Não,2024,11,18,False,0.9,35-44
C006703,18,M,UK,Estrangeiro,2024-03-16,Restaurante,Não,2024,3,16,False,1.6,18-24
C002989,23,F,ES,Estrangeiro,2024-05-20,Ambos,Sim,2024,5,20,True,1.4,18-24
C007021,74,M,ES,Estrangeiro,2024-12-20,Restaurante,Não,2024,12,20,False,0.8,65+
C001551,40,F,PT,Braga,2023-01-07,Hotel,Não,2023,1,7,False,2.8,35-44
C002165,67,M,PT,Lisboa,2024-02-24,Restaurante,Sim,2024,2,24,True,1.6,65+
C000587,34,M,PT,Porto,2023-11-11,Restaurante,Não,2023,11,11,False,1.9,25-34
C002406,63,F,PT,Braga,2024-12-16,Restaurante,Não,2024,12,16,False,0.8,55-64
C006801,26,M,UK,Estrangeiro,2024-01-06,Restaurante,Sim,2024,1,6,True,1.8,25-34
C003429,49,M,PT,Braga,2023-08-29,Restaurante,Não,2023,8,29,False,2.1,45-54
C002610,62,M,FR,Estrangeiro,2024-07-31,Hotel,Não,2024,7,31,False,1.2,55-64
C003657,42,F,DE,Estrangeiro,2024-10-29,Hotel,Não,2024,10,29,False,1.0,35-44
C003215,53,M,PT,Braga,2024-12-30,Ambos,Sim,2024,12,30,True,0.8,45-54
C003535,75,F,FR,Estrangeiro,2024-08-04,Restaurante,Não,2024,8,4,False,1.2,65+
C003287,36,M,PT,Aveiro,2024-01-22,Restaurante,Não,2024,1,22,False,1.7,35-44
C002081,42,M,PT,Porto,2024-09-29,Restaurante,Sim,2024,9,29,True,1.1,35-44
C006956,18,M,PT,Lisboa,2023-02-07,Hotel,Não,2023,2,7,False,2.7,18-24
C006488,19,F,PT,Aveiro,2024-12-17,Hotel,Não,2024,12,17,False,0.8,18-24
C000648,41,M,PT,Braga,2024-08-21,Hotel,Não,2024,8,21,False,1.2,35-44
C000223,52,M,Outro,Estrangeiro,2024-11-19,Restaurante,Não,2024,11,19,False,0.9,45-54
C006890,40,M,FR,Estrangeiro,2024-04-05,Restaurante,Não,2024,4,5,False,1.5,35-44
C007679,30,F,Outro,Estrangeiro,2023-01-09,Ambos,Sim,2023,1,9,True,2.8,25-34
C000024,19,F,PT,Porto,2024-07-28,Hotel,Não,2024,7,28,False,1.2,18-24
C001906,49,M,ES,Estrangeiro,2023-03-11,Ambos,Não,2023,3,11,False,2.6,45-54
C004079,35,F,PT,Porto,2023-01-13,Restaurante,Não,2023,1,13,False,2.8,35-44
C001555,38,F,PT,Porto,2023-04-22,Ambos,Sim,2023,4,22,True,2.5,35-44
C005724,32,M,PT,Lisboa,2024-12-15,Restaurante,Sim,2024,12,15,True,0.8,25-34
C005205,80,M,PT,Faro,2023-05-16,Restaurante,Sim,2023,5,16,True,2.4,65+
C007701,56,F,FR,Estrangeiro,2024-01-06,Hotel,Não,2024,1,6,False,1.8,55-64
C005841,47,M,PT,Porto,2024-04-30,Restaurante,Não,2024,4,30,False,1.5,45-54
C004946,58,M,PT,Porto,2023-06-12,Hotel,Não,2023,6,12,False,2.4,55-64
C001408,66,F,FR,Estrangeiro,2023-01-20,Restaurante,Não,2023,1,20,False,2.7,65+
C000066,63,F,PT,Porto,2023-03-01,Hotel,Não,2023,3,1,False,2.6,55-64
C006341,27,F,ES,Estrangeiro,2023-06-29,Restaurante,Sim,2023,6,29,True,2.3,25-34
C001045,39,F,UK,Estrangeiro,2023-09-19,Ambos,Sim,2023,9,19,True,2.1,35-44
C006689,18,M,DE,Estrangeiro,2024-05-19,Restaurante,Não,2024,5,19,False,1.4,18-24
C007925,36,F,PT,Aveiro,2023-10-11,Restaurante,Não,2023,10,11,False,2.0,35-44
C004744,48,M,UK,Estrangeiro,2024-08-26,Ambos,Sim,2024,8,26,True,1.1,45-54
C002032,26,F,PT,Aveiro,2023-09-24,Hotel,Não,2023,9,24,False,2.1,25-34
C005825,32,M,FR,Estrangeiro,2023-12-21,Restaurante,Não,2023,12,21,False,1.8,25-34
C005245,57,F,ES,Estrangeiro,2023-12-02,Hotel,Não,2023,12,2,False,1.9,55-64
C005037,76,M,PT,Porto,2024-07-28,Restaurante,Sim,2024,7,28,True,1.2,65+
C000555,47,F,PT,Aveiro,2024-01-24,Restaurante,Sim,2024,1,24,True,1.7,45-54
C007312,29,F,DE,Estrangeiro,2024-03-12,Restaurante,Não,2024,3,12,False,1.6,25-34
C004395,55,F,PT,Viseu,2024-10-17,Ambos,Não,2024,10,17,False,1.0,55-64
C005395,19,F,PT,Lisboa,2023-10-21,Hotel,Não,2023,10,21,False,2.0,18-24
C003536,67,F,ES,Estrangeiro,2023-05-24,Restaurante,Sim,2023,5,24,True,2.4,65+
C001700,44,F,ES,Estrangeiro,2024-02-05,Restaurante,Sim,2024,2,5,True,1.7,35-44
C006727,29,F,PT,Lisboa,2024-05-28,Restaurante,Não,2024,5,28,False,1.4,25-34
C001056,31,M,PT,Lisboa,2023-06-14,Restaurante,Sim,2023,6,14,True,2.3,25-34
C001407,19,M,FR,Estrangeiro,2024-06-02,Restaurante,Não,2024,6,2,False,1.4,18-24
C003768,62,F,UK,Estrangeiro,2024-01-06,Hotel,Não,2024,1,6,False,1.8,55-64
C000602,27,F,FR,Estrangeiro,2024-02-10,Restaurante,Não,2024,2,10,False,1.7,25-34
C001384,32,F,UK,Estrangeiro,2023-05-05,Restaurante,Não,2023,5,5,False,2.5,25-34
C003333,67,F,PT,Aveiro,2023-09-18,Restaurante,Sim,2023,9,18,True,2.1,65+
C002119,18,M,UK,Estrangeiro,2023-08-03,Restaurante,Não,2023,8,3,False,2.2,18-24
C004320,36,F,UK,Estrangeiro,2023-09-09,Hotel,Sim,2023,9,9,True,2.1,35-44
C001913,52,M,PT,Lisboa,2024-01-24,Ambos,Sim,2024,1,24,True,1.7,45-54
C003685,51,F,FR,Estrangeiro,2023-05-15,Restaurante,Sim,2023,5,15,True,2.4,45-54
C007583,41,M,ES,Estrangeiro,2024-06-21,Restaurante,Sim,2024,6,21,True,1.3,35-44
C004814,29,F,ES,Estrangeiro,2023-06-18,Restaurante,Não,2023,6,18,False,2.3,25-34
C001741,40,F,DE,Estrangeiro,2024-07-03,Hotel,Não,2024,7,3,False,1.3,35-44
C005040,48,F,ES,Estrangeiro,2023-05-09,Hotel,Não,2023,5,9,False,2.4,45-54
C000928,48,F,Outro,Estrangeiro,2023-06-21,Restaurante,Sim,2023,6,21,True,2.3,45-54
C005139,30,M,PT,Viseu,2023-12-05,Hotel,Não,2023,12,5,False,1.9,25-34
C003579,28,F,ES,Estrangeiro,2023-04-25,Ambos,Sim,2023,4,25,True,2.5,25-34
C004443,50,M,UK,Estrangeiro,2024-07-16,Hotel,Não,2024,7,16,False,1.3,45-54
C007473,22,F,PT,Porto,2023-03-08,Hotel,Não,2023,3,8,False,2.6,18-24
C007129,45,F,PT,Faro,2023-09-03,Restaurante,Não,2023,9,3,False,2.1,45-54
C000240,55,M,PT,Coimbra,2023-04-27,Restaurante,Não,2023,4,27,False,2.5,55-64
C002967,47,F,ES,Estrangeiro,2023-10-15,Ambos,Não,2023,10,15,False,2.0,45-54
C003543,56,M,ES,Estrangeiro,2024-01-29,Restaurante,Não,2024,1,29,False,1.7,55-64
C006207,35,M,PT,Faro,2024-12-24,Hotel,Sim,2024,12,24,True,0.8,35-44
C003211,60,F,FR,Estrangeiro,2023-05-10,Restaurante,Não,2023,5,10,False,2.4,55-64
C000102,35,M,UK,Estrangeiro,2023-08-16,Restaurante,Não,2023,8,16,False,2.2,35-44
C000319,47,F,PT,Porto,2023-05-10,Ambos,Sim,2023,5,10,True,2.4,45-54
C004582,26,F,UK,Estrangeiro,2023-09-12,Restaurante,Sim,2023,9,12,True,2.1,25-34
C003188,56,M,PT,Porto,2023-06-03,Restaurante,Não,2023,6,3,False,2.4,55-64
C000534,22,F,Outro,Estrangeiro,2023-11-03,Ambos,Sim,2023,11,3,True,2.0,18-24
C000738,57,F,ES,Estrangeiro,2023-07-10,Restaurante,Não,2023,7,10,False,2.3,55-64
C001245,31,M,PT,Lisboa,2023-04-22,Hotel,Não,2023,4,22,False,2.5,25-34
C001143,39,F,PT,Outro,2023-03-18,Restaurante,Não,2023,3,18,False,2.6,35-44
C004348,18,M,UK,Estrangeiro,2024-05-17,Restaurante,Sim,2024,5,17,True,1.4,18-24
C007288,58,M,PT,Lisboa,2024-11-03,Restaurante,Não,2024,11,3,False,1.0,55-64
C006527,36,F,ES,Estrangeiro,2023-04-15,Restaurante,Não,2023,4,15,False,2.5,35-44
C001329,22,F,ES,Estrangeiro,2024-08-04,Restaurante,Não,2024,8,4,False,1.2,18-24
C007098,40,M,PT,Braga,2023-07-05,Restaurante,Não,2023,7,5,False,2.3,35-44
C006614,77,M,ES,Estrangeiro,2024-03-15,Hotel,Não,2024,3,15,False,1.6,65+
C001929,59,F,FR,Estrangeiro,2024-10-21,Ambos,Não,2024,10,21,False,1.0,55-64
C005005,53,M,PT,Lisboa,2023-06-12,Ambos,Sim,2023,6,12,True,2.4,45-54
C000497,25,M,ES,Estrangeiro,2024-07-18,Hotel,Não,2024,7,18,False,1.3,25-34
C007545,58,F,UK,Estrangeiro,2023-06-24,Ambos,Não,2023,6,24,False,2.3,55-64
C002772,30,F,PT,Coimbra,2024-07-18,Restaurante,Não,2024,7,18,False,1.3,25-34
C000473,18,F,DE,Estrangeiro,2023-05-01,Restaurante,Não,2023,5,1,False,2.5,18-24
C005051,53,F,PT,Porto,2024-02-22,Restaurante,Não,2024,2,22,False,1.7,45-54
C004077,36,M,UK,Estrangeiro,2023-11-07,Ambos,Sim,2023,11,7,True,1.9,35-44
C003917,40,M,PT,Braga,2023-10-07,Restaurante,Sim,2023,10,7,True,2.0,35-44
C000545,18,M,PT,Porto,2024-05-28,Hotel,Não,2024,5,28,False,1.4,18-24
C004177,41,F,PT,Porto,2023-01-13,Restaurante,Não,2023,1,13,False,2.8,35-44
C001243,32,M,FR,Estrangeiro,2023-07-06,Restaurante,Não,2023,7,6,False,2.3,25-34
C007331,80,F,PT,Braga,2024-11-28,Restaurante,Sim,2024,11,28,True,0.9,65+
C005539,22,F,PT,Lisboa,2023-10-17,Ambos,Sim,2023,10,17,True,2.0,18-24
C000335,57,F,PT,Porto,2023-06-06,Ambos,Não,2023,6,6,False,2.4,55-64
C007133,51,F,ES,Estrangeiro,2023-11-10,Ambos,Não,2023,11,10,False,1.9,45-54
C001316,21,F,PT,Porto,2024-11-21,Hotel,Não,2024,11,21,False,0.9,18-24
C001920,34,F,PT,Lisboa,2024-03-14,Hotel,Não,2024,3,14,False,1.6,25-34
C002185,18,F,ES,Estrangeiro,2023-12-29,Restaurante,Sim,2023,12,29,True,1.8,18-24
C003862,29,F,UK,Estrangeiro,2024-03-08,Ambos,Sim,2024,3,8,True,1.6,25-34
C007410,60,F,PT,Porto,2023-07-12,Restaurante,Não,2023,7,12,False,2.3,55-64
C004646,67,F,DE,Estrangeiro,2023-08-06,Restaurante,Não,2023,8,6,False,2.2,65+
C000133,25,F,PT,Porto,2023-05-05,Ambos,Sim,2023,5,5,True,2.5,25-34
C003961,30,M,PT,Porto,2023-04-20,Restaurante,Não,2023,4,20,False,2.5,25-34
C006352,25,M,PT,Braga,2024-01-27,Restaurante,Não,2024,1,27,False,1.7,25-34
C002246,43,M,FR,Estrangeiro,2023-05-26,Restaurante,Sim,2023,5,26,True,2.4,35-44
C000541,55,M,FR,Estrangeiro,2024-08-20,Restaurante,Sim,2024,8,20,True,1.2,55-64
C006147,43,F,PT,Lisboa,2023-05-04,Ambos,Sim,2023,5,4,True,2.5,35-44
C002030,34,M,UK,Estrangeiro,2024-12-03,Restaurante,Não,2024,12,3,False,0.9,25-34
C000038,18,M,ES,Estrangeiro,2024-05-15,Restaurante,Não,2024,5,15,False,1.4,18-24
C007637,24,M,PT,Porto,2024-01-01,Restaurante,Não,2024,1,1,False,1.8,18-24
C007574,65,F,PT,Lisboa,2023-12-13,Restaurante,Não,2023,12,13,False,1.8,65+
C002019,52,F,FR,Estrangeiro,2023-10-08,Ambos,Sim,2023,10,8,True,2.0,45-54
C002112,39,F,ES,Estrangeiro,2023-01-06,Restaurante,Não,2023,1,6,False,2.8,35-44
C002403,33,F,FR,Estrangeiro,2024-12-29,Hotel,Não,2024,12,29,False,0.8,25-34
C000749,32,M,UK,Estrangeiro,2024-12-23,Restaurante,Não,2024,12,23,False,0.8,25-34
C007568,22,F,PT,Porto,2024-07-28,Restaurante,Sim,2024,7,28,True,1.2,18-24
C002457,32,M,UK,Estrangeiro,2024-12-13,Restaurante,Não,2024,12,13,False,0.8,25-34
C007513,45,M,PT,Coimbra,2024-02-15,Ambos,Sim,2024,2,15,True,1.7,45-54
C002345,18,M,DE,Estrangeiro,2024-09-22,Restaurante,Não,2024,9,22,False,1.1,18-24
C000096,18,M,ES,Estrangeiro,2023-12-29,Restaurante,Não,2023,12,29,False,1.8,18-24
C006252,36,M,ES,Estrangeiro,2024-07-30,Ambos,Não,2024,7,30,False,1.2,35-44
C007865,34,F,DE,Estrangeiro,2023-02-01,Ambos,Não,2023,2,1,False,2.7,25-34
C005224,27,M,PT,Viseu,2024-05-23,Restaurante,Não,2024,5,23,False,1.4,25-34
C002115,53,F,PT,Coimbra,2024-09-23,Hotel,Não,2024,9,23,False,1.1,45-54
