reserva_id,cliente_id,data,hora,num_pessoas_mesa,dia_semana,mes,epoca,fim_semana,feriado,evento_cidade,temperatura_exterior,chuva,tinha_reserva,tempo_espera_minutos,tipo_servico,prato_principal,pediu_entrada,pediu_sobremesa,pediu_vinho,pediu_cafe,num_pratos_partilha,tempo_permanencia_minutos,rating,voltou_visitar,gasto_comida,gasto_bebidas,gasto_total
R003943,C000624,2023-07-27,20:15,2,Thursday,7,Alta,Não,Não,Não,18.9,Não,Não,23,Menu_Degustacao,Peixe,Sim,Sim,Sim,Sim,0,138.0,4.0,Sim,171.96,22.34,194.31
R006647,C003704,2023-02-09,12:45,4,Thursday,2,Baixa,Não,Não,Não,9.0,Sim,Sim,10,Menu_Dia,Carne,Sim,Sim,Sim,Sim,2,44.0,4.0,Sim,148.01,74.38,222.39
R016099,,2023-03-19,21:15,2,Sunday,3,Baixa,Sim,Não,Não,11.7,Não,Não,12,A_La_Carte,Peixe,Sim,Sim,Não,Não,2,73.0,5.0,Não,116.35,4.37,120.72
R023756,,2024-05-05,14:15,5,Sunday,5,Media,Sim,Não,Não,16.8,Sim,Não,26,A_La_Carte,Peixe,Não,Sim,Sim,Sim,1,92.0,4.0,Não,188.36,72.65,261.01
R013209,,2023-11-06,14:00,4,Monday,11,Baixa,Não,Não,Não,10.2,Sim,Não,26,A_La_Carte,Peixe,Não,Não,Sim,Sim,1,44.0,4.0,Não,107.31,69.81,177.12
R010839,,2023-07-02,19:45,1,Sunday,7,Alta,Sim,Não,Não,22.8,Não,Não,45,A_La_Carte,Peixe,Não,Sim,Não,Não,0,78.0,2.0,Sim,25.43,2.88,28.31
R001046,C007734,2023-10-13,20:30,2,Friday,10,Media,Não,Não,Não,18.6,Não,Sim,7,Menu_Degustacao,Peixe,Sim,Sim,Sim,Sim,0,117.0,5.0,Sim,134.66,20.21,154.87
R004978,C000850,2024-01-20,21:45,4,Saturday,1,Baixa,Sim,Não,Não,10.4,Sim,Sim,4,Menu_Dia,Carne,Sim,Não,Sim,Não,1,58.0,5.0,Sim,126.13,53.46,179.59
R022746,,2024-08-02,22:15,2,Friday,8,Alta,Não,Não,Não,17.8,Não,Sim,4,A_La_Carte,Carne,Não,Sim,Não,Não,0,82.0,5.0,Sim,79.0,5.37,84.37
R007086,C004268,2023-01-18,21:15,3,Wednesday,1,Baixa,Não,Não,Não,8.7,Sim,Sim,5,A_La_Carte,Vegetariano,Sim,Sim,Não,Não,0,73.0,3.0,Não,127.75,8.11,135.87
R016445,,2024-06-02,14:30,3,Sunday,6,Alta,Sim,Não,Não,21.3,Não,Não,11,A_La_Carte,Vegetariano,Não,Sim,Não,Sim,2,73.0,4.0,Não,142.67,11.65,154.32
R009623,C005417,2024-06-07,12:15,1,Friday,6,Alta,Não,Não,Não,20.4,Não,Não,8,A_La_Carte,Vegetariano,Não,Não,Não,Não,0,,5.0,Não,21.1,2.19,23.28
R005054,C007161,2023-06-26,22:00,4,Monday,6,Alta,Não,Não,Não,15.7,Sim,Sim,8,Menu_Dia,Vegetariano,Sim,Sim,Sim,Não,3,30.0,4.0,Sim,166.67,52.33,219.0
R020882,,2024-12-15,13:15,2,Sunday,12,Baixa,Sim,Não,Não,,Não,Sim,2,Menu_Dia,Carne,Não,Não,Sim,Sim,0,53.0,3.0,Sim,31.23,17.55,48.78
R015257,,2024-08-08,13:15,2,Thursday,8,Alta,Não,Não,Não,24.9,Não,Não,26,Menu_Degustacao,Carne,Sim,Sim,Sim,Sim,0,98.0,5.0,Não,153.18,19.39,172.57
R006429,C003052,2024-05-06,21:15,2,Monday,5,Media,Não,Não,Não,17.6,Sim,Sim,2,A_La_Carte,Carne,Não,Sim,Sim,Não,0,66.0,4.0,Sim,75.07,15.69,90.76
R006751,C004228,2023-05-02,12:00,1,Tuesday,5,Media,Não,Não,Não,20.2,Sim,Não,17,A_La_Carte,Vegetariano,Não,Sim,Não,Sim,0,77.0,4.0,Não,27.55,4.21,31.76
R021995,,2024-05-04,20:15,2,Saturday,5,Media,Sim,Não,Não,16.7,Não,Sim,6,Menu_Dia,Carne,Não,Não,Não,Sim,0,49.0,2.0,Não,30.62,10.38,41.0
R023398,,2024-07-12,22:45,2,Friday,7,Alta,Não,Não,Não,25.7,Sim,Não,32,Menu_Dia,Outro,Não,Não,Sim,Não,0,42.0,3.0,Não,26.67,15.46,42.13
R003581,C000227,2023-03-03,13:30,2,Friday,3,Baixa,Não,Não,Sim,9.5,Não,Não,11,Menu_Dia,Carne,Sim,Não,Não,Não,0,41.0,5.0,Sim,46.96,6.71,53.67
R000994,C005175,2023-08-26,14:15,5,Saturday,8,Alta,Sim,Não,Não,21.4,Não,Sim,2,A_La_Carte,Peixe,Não,Sim,Sim,Não,2,68.0,4.0,Não,205.84,50.75,256.58
R009213,C006389,2024-06-17,12:30,1,Monday,6,Alta,Não,Não,Não,,Não,Sim,3,A_La_Carte,Carne,Sim,Sim,Não,Não,0,65.0,5.0,Não,39.91,2.47,42.39
R005815,C007997,2024-10-15,19:15,1,Tuesday,10,Media,Não,Não,Não,13.0,Sim,Sim,7,A_La_Carte,Carne,Sim,Não,Sim,Não,0,62.0,4.0,Sim,35.65,10.3,45.95
R009304,C000714,2023-09-16,22:00,2,Saturday,9,Alta,Sim,Não,Não,19.8,Não,Sim,10,A_La_Carte,Vegetariano,Não,Sim,Sim,Não,1,95.0,5.0,Sim,89.01,14.62,103.62
R008887,C005217,2024-09-28,13:00,1,Saturday,9,Alta,Sim,Não,Não,19.9,Não,Sim,0,A_La_Carte,Peixe,Não,Não,Sim,Não,0,64.0,4.0,Sim,30.66,9.2,39.86
R001890,C001573,2024-03-12,19:30,2,Tuesday,3,Baixa,Não,Não,Não,9.9,Não,Sim,4,A_La_Carte,Peixe,Sim,Não,Sim,Não,0,77.0,4.0,Sim,70.34,16.63,86.97
R012645,,2024-05-18,22:30,3,Saturday,5,Media,Sim,Não,Não,15.1,Não,Sim,2,Menu_Degustacao,Peixe,Sim,Sim,Sim,Não,0,107.0,4.0,Não,205.4,78.75,284.15
R018688,,2023-10-08,19:30,4,Sunday,10,Media,Sim,Não,Não,20.1,Sim,Não,45,Menu_Degustacao,Vegetariano,Sim,Sim,Sim,Não,0,140.0,4.0,Não,337.62,49.9,387.52
R022111,,2023-04-07,22:00,2,Friday,4,Media,Não,Não,Sim,17.0,Não,Sim,4,Menu_Dia,Peixe,Sim,Não,Não,Não,0,30.0,4.0,Não,46.98,5.84,52.82
R009104,C002973,2024-04-11,12:00,2,Thursday,4,Media,Não,Não,Não,16.6,Sim,Não,21,A_La_Carte,Peixe,Sim,Não,Sim,Não,0,77.0,4.0,Não,72.61,14.38,86.99
R003579,C007110,2023-08-31,21:00,2,Thursday,8,Alta,Não,Não,Não,18.6,Sim,Não,20,A_La_Carte,Vegetariano,Sim,Não,Sim,Não,0,47.0,5.0,Sim,62.2,16.56,78.76
R001247,C004122,2023-02-02,13:00,2,Thursday,2,Baixa,Não,Não,Não,11.6,Sim,Não,4,Menu_Dia,Carne,Não,Sim,Não,Não,0,44.0,4.0,Sim,42.99,4.21,47.2
R014657,,2024-08-23,12:15,2,Friday,8,Alta,Não,Não,Não,21.2,Não,Não,20,A_La_Carte,Outro,Sim,Não,Sim,Sim,0,95.0,5.0,Não,75.12,23.48,98.61
R015994,,2023-05-13,20:15,2,Saturday,5,Media,Sim,Não,Não,15.4,Não,Não,13,A_La_Carte,Peixe,Não,Não,Sim,Não,1,97.0,4.0,Não,60.65,13.18,73.83
R007548,C003551,2023-12-16,20:00,4,Saturday,12,Baixa,Sim,Não,Não,11.3,Não,Sim,10,A_La_Carte,Carne,Sim,Sim,Sim,Sim,1,54.0,4.0,Não,151.29,74.6,225.89
R016163,,2024-07-17,20:45,2,Wednesday,7,Alta,Não,Não,Não,21.1,Sim,Sim,17,A_La_Carte,Carne,Não,Não,Não,Não,0,76.0,4.0,Sim,57.74,4.7,62.44
R001685,C003130,2024-02-27,22:45,2,Tuesday,2,Baixa,Não,Não,Não,14.9,Sim,Sim,4,A_La_Carte,Peixe,Não,Sim,Não,Não,0,78.0,3.0,Não,58.97,5.88,64.85
R015098,,2024-05-14,20:30,1,Tuesday,5,Media,Não,Não,Não,18.2,Não,Não,18,A_La_Carte,Peixe,Sim,Sim,Não,Não,0,74.0,5.0,Sim,43.61,3.33,46.94
R000675,C006880,2023-12-23,19:45,6,Saturday,12,Baixa,Sim,Não,Sim,7.9,Não,Sim,5,A_La_Carte,Peixe,Sim,Não,Sim,Sim,0,71.0,5.0,Sim,194.18,122.85,317.04
R022841,,2024-08-16,21:15,2,Friday,8,Alta,Não,Não,Não,21.8,Não,Não,19,Menu_Dia,Outro,Não,Não,Não,Sim,0,30.0,3.0,Sim,33.77,10.08,43.85
R018542,,2023-12-30,20:45,7,Saturday,12,Baixa,Sim,Não,Sim,14.8,Não,Sim,6,A_La_Carte,Carne,Não,Não,Sim,Não,2,80.0,3.0,Sim,165.15,108.0,273.15
R014059,,2024-09-12,13:30,2,Thursday,9,Alta,Não,Não,Não,21.7,Não,Não,19,A_La_Carte,Carne,Não,Não,Sim,Não,1,66.0,5.0,Sim,52.78,16.24,69.02
R010785,,2024-02-04,22:30,4,Sunday,2,Baixa,Sim,Não,Não,8.0,Não,Não,22,Menu_Dia,Carne,Não,Não,Não,Sim,1,52.0,3.0,Não,67.93,16.12,84.05
R002394,C005841,2024-11-19,19:45,2,Tuesday,11,Baixa,Não,Não,Não,8.4,Não,Sim,9,Menu_Degustacao,Peixe,Sim,Sim,Sim,Sim,0,136.0,4.0,Sim,179.08,19.42,198.49
R006798,C000609,2023-11-26,14:15,2,Sunday,11,Baixa,Sim,Não,Não,18.4,Não,Não,16,A_La_Carte,Peixe,Sim,Não,Não,Sim,0,62.0,3.0,Sim,88.75,9.95,98.7
R008320,C001764,2024-10-03,13:15,2,Thursday,10,Media,Não,Não,Não,16.3,Não,Sim,13,A_La_Carte,Outro,Sim,Não,Não,Não,0,99.0,3.0,Sim,70.62,6.97,77.59
R000960,C001257,2024-02-26,13:00,4,Monday,2,Baixa,Não,Não,Não,8.1,Sim,Sim,4,Menu_Dia,Peixe,Não,Não,Sim,Sim,0,44.0,5.0,Sim,59.29,72.27,131.55
R012122,,2024-12-21,12:15,1,Saturday,12,Baixa,Sim,Não,Sim,14.0,Sim,Não,25,Menu_Dia,Carne,Sim,Sim,Não,Não,0,45.0,,Não,27.76,2.15,29.91
R024718,,2024-03-23,12:00,1,Saturday,3,Baixa,Sim,Não,Não,13.0,Não,Não,31,Menu_Dia,Peixe,Sim,Não,Sim,Sim,0,34.0,3.0,Não,19.68,11.31,30.99
R015818,,2024-08-07,20:15,1,Wednesday,8,Alta,Não,Não,Não,18.4,Não,Não,17,A_La_Carte,Vegetariano,Sim,Não,Não,Sim,0,77.0,3.0,Sim,32.47,5.34,37.81
R010546,,2024-06-04,21:15,4,Tuesday,6,Alta,Não,Não,Não,18.3,Não,Não,11,Menu_Dia,Peixe,Sim,Sim,Não,Não,3,49.0,3.0,Não,138.75,11.98,150.73
R013434,,2024-06-12,21:45,3,Wednesday,6,Alta,Não,Não,Não,21.0,Sim,Sim,2,A_La_Carte,Peixe,Sim,Sim,Sim,Não,0,62.0,,Não,98.25,39.23,137.49
R021231,,2024-06-14,20:30,2,Friday,6,Alta,Não,Não,Não,19.7,Não,Não,21,Menu_Dia,Peixe,Sim,Não,Não,Não,0,,4.0,Não,44.27,4.29,48.56
R002908,C002257,2023-05-10,20:00,3,Wednesday,5,Media,Não,Não,Não,16.4,Não,Sim,8,A_La_Carte,Carne,Sim,Sim,Sim,Não,0,66.0,4.0,Sim,118.22,65.86,184.08
R007429,C007556,2024-05-17,13:30,2,Friday,5,Media,Não,Não,Não,19.8,Não,Não,18,A_La_Carte,Carne,Sim,Sim,Não,Sim,1,69.0,4.0,Não,100.75,9.43,110.18
R010398,C000699,2023-01-06,14:45,1,Friday,1,Baixa,Não,Não,Não,7.1,Não,Não,17,Menu_Dia,Peixe,Sim,Não,Não,Sim,0,40.0,4.0,Não,26.15,5.56,31.71
R000346,C001728,2024-10-12,20:30,4,Saturday,10,Media,Sim,Não,Não,17.3,Não,Sim,1,A_La_Carte,Peixe,Não,Sim,Não,Sim,2,65.0,3.0,Sim,110.58,17.2,127.77
R016776,,2024-10-10,19:15,1,Thursday,10,Media,Não,Não,Não,14.0,Não,Não,21,Menu_Dia,Carne,Não,Sim,Sim,Não,0,30.0,3.0,Não,18.94,9.97,28.91
R003442,C003447,2023-10-03,21:45,2,Tuesday,10,Media,Não,Não,Não,16.7,Não,Sim,7,A_La_Carte,Peixe,Sim,Sim,Sim,Não,1,87.0,3.0,Sim,99.65,14.19,113.83
R021683,,2023-11-30,21:30,4,Thursday,11,Baixa,Não,Não,Não,15.6,Sim,Sim,1,Menu_Dia,Peixe,Sim,Sim,Não,Sim,0,,2.0,Não,96.19,18.44,114.63
R004686,C001598,2024-06-27,14:30,2,Thursday,6,Alta,Não,Não,Não,22.2,Não,Sim,9,A_La_Carte,Peixe,Não,Não,Não,Sim,0,59.0,4.0,Não,56.57,8.21,64.78
R004547,C002011,2023-11-22,22:45,3,Wednesday,11,Baixa,Não,Não,Não,12.7,Sim,Sim,1,A_La_Carte,Peixe,Sim,Sim,Sim,Não,0,78.0,4.0,Sim,129.95,60.0,189.95
R015362,,2024-02-22,13:00,2,Thursday,2,Baixa,Não,Não,Não,10.8,Não,Não,28,A_La_Carte,Carne,Sim,Não,Não,Não,0,71.0,4.0,Não,65.13,5.61,70.74
R002196,C000853,2024-11-23,19:30,3,Saturday,11,Baixa,Sim,Não,Não,10.4,Não,Sim,1,Menu_Dia,Carne,Não,Sim,Sim,Sim,1,57.0,4.0,Sim,76.4,45.58,121.98
