cliente_id,idade,genero,nacionalidade,distrito_residencia,cliente_desde,tipo_cliente,cliente_habitual
C007732,45,F,FR,,2024-02-23,Restaurante,Sim
C002253,18,F,UK,,2023-08-06,Ambos,Sim
C006655,33,F,PT,Faro,2023-03-23,Hotel,Não
C007245,53,M,PT,Lisboa,2024-05-19,Ambos,Sim
C000867,46,F,PT,Braga,2024-03-21,Restaurante,Não
C005592,37,M,UK,,2023-06-11,Ambos,Sim
C002466,56,F,Outro,,2023-07-26,Hotel,Não
C000466,38,M,DE,,2023-05-27,Hotel,Não
C002883,32,F,ES,,2023-01-05,Hotel,Não
C004962,25,M,Outro,,2024-12-22,Hotel,Não
C007043,49,M,PT,Porto,2023-07-25,Hotel,Não
C006241,38,F,ES,,2023-03-15,Restaurante,Não
C005448,70,F,FR,,2023-06-30,Restaurante,Não
C001503,28,M,ES,,2024-12-01,Hotel,Não
C003916,40,F,PT,Lisboa,2024-12-11,Restaurante,Não
C003263,27,M,PT,Outro,2023-10-22,Restaurante,Sim
C000264,25,M,FR,,2024-03-20,Hotel,Sim
C003807,42,M,FR,,2023-03-14,Hotel,Não
C004085,62,M,PT,Porto,2023-01-01,Restaurante,Não
C007840,36,F,DE,,2023-04-16,Restaurante,Não
C001812,44,F,PT,Braga,2024-01-10,Hotel,Não
C001145,39,M,PT,Lisboa,2024-07-23,Restaurante,Sim
C005828,42,F,PT,Porto,2023-03-10,Hotel,Não
C002150,18,M,FR,,2024-07-24,Hotel,Não
C003930,44,M,PT,Porto,2024-09-25,Restaurante,Sim
C006320,40,M,ES,,2024-07-25,Hotel,Não
C003291,64,M,PT,Braga,2024-02-05,Hotel,Não
C000683,33,F,PT,Aveiro,2024-12-06,Restaurante,Não
C002841,46,M,DE,,2024-01-06,Ambos,Sim
C001003,42,F,PT,Porto,2023-03-07,Restaurante,Sim
C006756,18,M,UK,,2023-07-26,Hotel,Não
C005130,43,M,PT,Porto,2024-10-18,Restaurante,Não
C004291,50,F,PT,Lisboa,2024-12-30,Restaurante,Não
C002174,44,F,PT,Porto,2024-06-24,Ambos,Não
C000484,45,F,ES,,2024-01-13,Restaurante,Sim
C003814,43,F,PT,Aveiro,2023-09-16,Restaurante,Não
C004415,45,F,FR,,2024-09-27,Restaurante,Não
C000519,43,F,PT,Lisboa,2023-01-24,Restaurante,Não
C006989,41,F,PT,Braga,2024-08-13,Restaurante,Não
C001346,18,M,FR,,2024-11-08,Ambos,Sim
C000697,47,M,PT,Lisboa,2024-07-22,Restaurante,Sim
C001010,33,F,Outro,,2023-09-23,Restaurante,Não
C006318,33,F,PT,Lisboa,2024-01-27,Ambos,Sim
C006596,63,F,ES,,2024-05-02,Restaurante,Não
C002771,38,M,PT,Lisboa,2023-05-23,Restaurante,Não
C001075,57,F,PT,Lisboa,2024-01-03,Hotel,Não
C001340,44,F,PT,Braga,2024-02-19,Ambos,Sim
C002987,40,M,ES,,2024-03-08,Restaurante,Não
C007710,27,M,UK,,2024-04-26,Hotel,Não
C006748,50,F,PT,Porto,2023-01-08,Restaurante,Não
C004422,24,M,Outro,,2023-08-21,Ambos,Não
C003393,40,M,PT,Coimbra,2024-01-30,Ambos,Sim
C001484,35,M,PT,Porto,2023-07-25,Restaurante,Sim
C004862,28,F,PT,Lisboa,2024-04-27,Restaurante,Não
C001935,80,F,ES,,2023-07-03,Hotel,Não
C001035,34,M,FR,,2023-12-19,Restaurante,Não
C005485,18,M,UK,,2023-07-24,Restaurante,Não
C002479,20,F,PT,Lisboa,2024-02-09,Restaurante,Não
C000350,38,M,FR,,2023-08-09,Restaurante,Sim
C004394,33,F,ES,,2024-07-13,Restaurante,Não
C004353,38,M,PT,Porto,2023-10-18,Hotel,Não
C007558,41,M,FR,,2023-03-20,Restaurante,Sim
C001062,18,F,ES,,2024-04-12,Restaurante,Não
C000880,61,F,UK,,2024-07-23,Restaurante,Não
C005603,38,F,UK,,2023-03-07,Restaurante,Não
C002543,38,F,PT,Porto,2023-04-02,Restaurante,Não
C006424,44,M,FR,,2023-03-02,Hotel,Não
C006745,25,F,PT,Braga,2024-06-19,Hotel,Não
C001851,31,M,ES,,2023-08-16,Restaurante,Sim
C005403,50,F,Outro,,2023-09-19,Restaurante,Não
C001678,66,M,ES,,2023-10-26,Restaurante,Não
C001836,47,M,Outro,,2024-12-26,Hotel,Não
C007112,44,F,DE,,2024-07-23,Hotel,Não
C004953,54,F,PT,Coimbra,2023-09-10,Hotel,Não
C004705,51,F,ES,,2023-03-18,Hotel,Não
C005200,56,M,PT,Outro,2024-11-07,Restaurante,Não
C000458,25,F,ES,,2023-07-04,Ambos,Sim
C004648,41,F,UK,,2023-12-31,Hotel,Não
C006508,49,F,PT,Porto,2024-03-20,Restaurante,Não
C003183,24,M,PT,Lisboa,2024-01-16,Restaurante,Não
C005338,29,F,PT,Lisboa,2023-03-21,Restaurante,Não
C001946,36,F,PT,Lisboa,2024-02-03,Hotel,Não
C006125,66,M,Outro,,2023-07-26,Restaurante,Não
C003264,60,F,Outro,,2023-11-30,Ambos,Sim
C006523,36,F,PT,Aveiro,2024-11-14,Restaurante,Não
C006522,40,F,ES,,2024-11-18,Restaurante,Não
C006703,18,M,UK,,2024-03-16,Restaurante,Não
C002989,23,F,ES,,2024-05-20,Ambos,Sim
C007021,74,M,ES,,2024-12-20,Restaurante,Não
C001551,40,F,PT,Braga,2023-01-07,Hotel,Não
C002165,67,M,PT,Lisboa,2024-02-24,Restaurante,Sim
C000587,34,M,PT,Porto,2023-11-11,Restaurante,Não
C002406,63,F,PT,Braga,2024-12-16,Restaurante,Não
C006801,26,M,UK,,2024-01-06,Restaurante,Sim
C003429,49,M,PT,Braga,2023-08-29,Restaurante,Não
C002610,62,M,FR,,2024-07-31,Hotel,Não
C003657,42,F,DE,,2024-10-29,Hotel,Não
C003215,53,M,PT,Braga,2024-12-30,Ambos,Sim
C003535,75,F,FR,,2024-08-04,Restaurante,Não
C003287,36,M,PT,Aveiro,2024-01-22,Restaurante,Não
C002081,42,M,PT,Porto,2024-09-29,Restaurante,Sim
C006956,18,M,PT,Lisboa,2023-02-07,Hotel,Não
C006488,19,F,PT,Aveiro,2024-12-17,Hotel,Não
C000648,41,M,PT,Braga,2024-08-21,Hotel,Não
C000223,52,M,Outro,,2024-11-19,Restaurante,Não
C006890,40,M,FR,,2024-04-05,Restaurante,Não
C007679,30,F,Outro,,2023-01-09,Ambos,Sim
C000024,19,F,PT,Porto,2024-07-28,Hotel,Não
C001906,49,M,ES,,2023-03-11,Ambos,Não
C004079,35,F,PT,Porto,2023-01-13,Restaurante,Não
C001555,38,F,PT,Porto,2023-04-22,Ambos,Sim
C005724,32,M,PT,Lisboa,2024-12-15,Restaurante,Sim
C005205,80,M,PT,Faro,2023-05-16,Restaurante,Sim
C007701,56,F,FR,,2024-01-06,Hotel,Não
C005841,47,M,PT,Porto,2024-04-30,Restaurante,Não
C004946,58,M,PT,Porto,2023-06-12,Hotel,Não
C001408,66,F,FR,,2023-01-20,Restaurante,Não
C000066,63,F,PT,Porto,2023-03-01,Hotel,Não
C006341,27,F,ES,,2023-06-29,Restaurante,Sim
C001045,39,F,UK,,2023-09-19,Ambos,Sim
C006689,18,M,DE,,2024-05-19,Restaurante,Não
C007925,36,F,PT,Aveiro,2023-10-11,Restaurante,Não
C004744,48,M,UK,,2024-08-26,Ambos,Sim
C002032,26,F,PT,Aveiro,2023-09-24,Hotel,Não
C005825,32,M,FR,,2023-12-21,Restaurante,Não
C005245,57,F,ES,,2023-12-02,Hotel,Não
C005037,76,M,PT,Porto,2024-07-28,Restaurante,Sim
C000555,47,F,PT,Aveiro,2024-01-24,Restaurante,Sim
C007312,29,F,DE,,2024-03-12,Restaurante,Não
C004395,55,F,PT,Viseu,2024-10-17,Ambos,Não
C005395,19,F,PT,Lisboa,2023-10-21,Hotel,Não
C003536,67,F,ES,,2023-05-24,Restaurante,Sim
C001700,44,F,ES,,2024-02-05,Restaurante,Sim
C006727,29,F,PT,Lisboa,2024-05-28,Restaurante,Não
C001056,31,M,PT,Lisboa,2023-06-14,Restaurante,Sim
C001407,19,M,FR,,2024-06-02,Restaurante,Não
C003768,62,F,UK,,2024-01-06,Hotel,Não
C000602,27,F,FR,,2024-02-10,Restaurante,Não
C001384,32,F,UK,,2023-05-05,Restaurante,Não
C003333,67,F,PT,Aveiro,2023-09-18,Restaurante,Sim
C002119,18,M,UK,,2023-08-03,Restaurante,Não
C004320,36,F,UK,,2023-09-09,Hotel,Sim
C001913,52,M,PT,Lisboa,2024-01-24,Ambos,Sim
C003685,51,F,FR,,2023-05-15,Restaurante,Sim
C007583,41,M,ES,,2024-06-21,Restaurante,Sim
C004814,29,F,ES,,2023-06-18,Restaurante,Não
C001741,40,F,DE,,2024-07-03,Hotel,Não
C005040,48,F,ES,,2023-05-09,Hotel,Não
C000928,48,F,Outro,,2023-06-21,Restaurante,Sim
C005139,30,M,PT,Viseu,2023-12-05,Hotel,Não
C003579,28,F,ES,,2023-04-25,Ambos,Sim
C004443,50,M,UK,,2024-07-16,Hotel,Não
C007473,22,F,PT,Porto,2023-03-08,Hotel,Não
C007129,45,F,PT,Faro,2023-09-03,Restaurante,Não
C000240,55,M,PT,Coimbra,2023-04-27,Restaurante,Não
C002967,47,F,ES,,2023-10-15,Ambos,Não
C003543,56,M,ES,,2024-01-29,Restaurante,Não
C006207,35,M,PT,Faro,2024-12-24,Hotel,Sim
C003211,60,F,FR,,2023-05-10,Restaurante,Não
C000102,35,M,UK,,2023-08-16,Restaurante,Não
C000319,47,F,PT,Porto,2023-05-10,Ambos,Sim
C004582,26,F,UK,,2023-09-12,Restaurante,Sim
C003188,56,M,PT,Porto,2023-06-03,Restaurante,Não
C000534,22,F,Outro,,2023-11-03,Ambos,Sim
C000738,57,F,ES,,2023-07-10,Restaurante,Não
C001245,31,M,PT,Lisboa,2023-04-22,Hotel,Não
C001143,39,F,PT,Outro,2023-03-18,Restaurante,Não
C004348,18,M,UK,,2024-05-17,Restaurante,Sim
C007288,58,M,PT,Lisboa,2024-11-03,Restaurante,Não
C006527,36,F,ES,,2023-04-15,Restaurante,Não
C001329,22,F,ES,,2024-08-04,Restaurante,Não
C007098,40,M,PT,Braga,2023-07-05,Restaurante,Não
C006614,77,M,ES,,2024-03-15,Hotel,Não
C001929,59,F,FR,,2024-10-21,Ambos,Não
C005005,53,M,PT,Lisboa,2023-06-12,Ambos,Sim
C000497,25,M,ES,,2024-07-18,Hotel,Não
C007545,58,F,UK,,2023-06-24,Ambos,Não
C002772,30,F,PT,Coimbra,2024-07-18,Restaurante,Não
C000473,18,F,DE,,2023-05-01,Restaurante,Não
C005051,53,F,PT,Porto,2024-02-22,Restaurante,Não
C004077,36,M,UK,,2023-11-07,Ambos,Sim
C003917,40,M,PT,Braga,2023-10-07,Restaurante,Sim
C000545,18,M,PT,Porto,2024-05-28,Hotel,Não
C004177,41,F,PT,Porto,2023-01-13,Restaurante,Não
C001243,32,M,FR,,2023-07-06,Restaurante,Não
C007331,80,F,PT,Braga,2024-11-28,Restaurante,Sim
C005539,22,F,PT,Lisboa,2023-10-17,Ambos,Sim
C000335,57,F,PT,Porto,2023-06-06,Ambos,Não
C007133,51,F,ES,,2023-11-10,Ambos,Não
C001316,21,F,PT,Porto,2024-11-21,Hotel,Não
C001920,34,F,PT,Lisboa,2024-03-14,Hotel,Não
C002185,18,F,ES,,2023-12-29,Restaurante,Sim
C003862,29,F,UK,,2024-03-08,Ambos,Sim
C007410,60,F,PT,Porto,2023-07-12,Restaurante,Não
C004646,67,F,DE,,2023-08-06,Restaurante,Não
C000133,25,F,PT,Porto,2023-05-05,Ambos,Sim
C003961,30,M,PT,Porto,2023-04-20,Restaurante,Não
C006352,25,M,PT,Braga,2024-01-27,Restaurante,Não
C002246,43,M,FR,,2023-05-26,Restaurante,Sim
C000541,55,M,FR,,2024-08-20,Restaurante,Sim
C006147,43,F,PT,Lisboa,2023-05-04,Ambos,Sim
C002030,34,M,UK,,2024-12-03,Restaurante,Não
C000038,18,M,ES,,2024-05-15,Restaurante,Não
C007637,24,M,PT,Porto,2024-01-01,Restaurante,Não
C007574,65,F,PT,Lisboa,2023-12-13,Restaurante,Não
C002019,52,F,FR,,2023-10-08,Ambos,Sim
C002112,39,F,ES,,2023-01-06,Restaurante,Não
C002403,33,F,FR,,2024-12-29,Hotel,Não
C000749,32,M,UK,,2024-12-23,Restaurante,Não
C007568,22,F,PT,Porto,2024-07-28,Restaurante,Sim
C002457,32,M,UK,,2024-12-13,Restaurante,Não
C007513,45,M,PT,Coimbra,2024-02-15,Ambos,Sim
C002345,18,M,DE,,2024-09-22,Restaurante,Não
C000096,18,M,ES,,2023-12-29,Restaurante,Não
C006252,36,M,ES,,2024-07-30,Ambos,Não
C007865,34,F,DE,,2023-02-01,Ambos,Não
C005224,27,M,PT,Viseu,2024-05-23,Restaurante,Não
C002115,53,F,PT,Coimbra,2024-09-23,Hotel,Não
C002587,20,M,PT,Aveiro,2024-02-08,Ambos,Sim
C005199,28,M,ES,,2024-07-25,Restaurante,Não
C003440,46,F,FR,,2023-01-12,Restaurante,Não
C003555,18,M,UK,,2024-06-20,Hotel,Sim
C000454,50,F,FR,,2024-01-31,Hotel,Não
C006585,67,F,Outro,,2023-02-13,Restaurante,Não
C002813,69,F,ES,,2024-03-17,Restaurante,Não
C002837,72,M,FR,,2024-05-02,Restaurante,Não
C000252,56,F,PT,Aveiro,2024-12-23,Restaurante,Sim
C006636,35,F,PT,Lisboa,2024-05-21,Restaurante,Não
C001023,41,M,UK,,2023-06-04,Hotel,Não
C007648,74,F,PT,Porto,2023-08-01,Restaurante,Não
C001011,63,F,PT,Aveiro,2024-08-20,Hotel,Não
C004650,38,M,PT,Porto,2024-10-03,Restaurante,Não
C006002,31,F,ES,,2023-12-26,Restaurante,Não
C001673,35,M,PT,Lisboa,2024-04-25,Restaurante,Sim
C000626,33,M,ES,,2024-03-13,Restaurante,Não
C007794,34,F,UK,,2023-03-24,Restaurante,Não
C002111,33,F,UK,,2023-04-19,Hotel,Sim
C001466,51,M,PT,Lisboa,2024-12-15,Hotel,Não
C007530,18,M,ES,,2024-03-13,Restaurante,Não
C004735,46,F,PT,Braga,2023-06-22,Hotel,Não
C004267,46,M,PT,Porto,2023-07-03,Restaurante,Não
C003092,54,F,PT,Porto,2023-08-31,Hotel,Sim
C006973,72,F,PT,Porto,2023-02-25,Restaurante,Não
C001889,34,F,PT,Faro,2023-06-16,Ambos,Sim
C001609,47,F,PT,Aveiro,2023-10-18,Restaurante,Não
C001745,27,M,FR,,2023-05-14,Restaurante,Não
C000158,49,F,UK,,2024-04-26,Restaurante,Não
C002440,18,F,Outro,,2023-04-15,Restaurante,Não
C002200,49,F,PT,Aveiro,2024-06-25,Restaurante,Não
C003095,28,M,PT,Porto,2023-02-08,Ambos,Sim
C006214,21,M,PT,Lisboa,2024-01-15,Hotel,Não
C000504,51,F,ES,,2024-08-08,Restaurante,Não
C006187,48,M,PT,Porto,2024-01-21,Restaurante,Sim
C000316,42,M,PT,Outro,2023-05-14,Restaurante,Não
C000711,45,M,PT,Porto,2024-02-12,Restaurante,Não
C003969,74,F,FR,,2023-08-27,Restaurante,Não
C004175,39,M,ES,,2023-04-29,Restaurante,Não
C003718,78,F,PT,Aveiro,2024-08-31,Restaurante,Sim
C007083,29,F,ES,,2023-03-30,Hotel,Não
C000857,28,M,PT,Faro,2023-01-25,Hotel,Não
C003323,18,F,PT,Faro,2023-05-19,Restaurante,Não
C005003,18,M,PT,Lisboa,2024-06-11,Ambos,Sim
C002657,24,F,PT,Porto,2023-10-03,Ambos,Não
C000320,39,F,ES,,2023-03-07,Hotel,Não
C000430,18,M,FR,,2024-04-25,Restaurante,Não
C001019,36,F,PT,Porto,2023-05-01,Hotel,Não
C001427,74,M,PT,Porto,2024-01-30,Restaurante,Não
C007943,18,M,PT,Lisboa,2023-02-19,Restaurante,Não
C003704,28,F,PT,Outro,2023-03-26,Restaurante,Não
C006544,39,M,Outro,,2023-05-31,Restaurante,Não
C002108,52,F,FR,,2024-04-05,Restaurante,Sim
C007146,49,F,PT,Aveiro,2024-09-22,Restaurante,Não
C006606,18,F,DE,,2024-01-08,Restaurante,Não
C007531,62,M,FR,,2023-03-27,Restaurante,Não
C007979,43,F,ES,,2024-12-26,Hotel,Não
C007945,48,M,PT,Coimbra,2023-07-21,Hotel,Não
C001194,47,M,PT,Braga,2023-12-05,Hotel,Não
C006358,18,F,PT,Aveiro,2024-12-31,Restaurante,Não
C004114,18,F,Outro,,2023-10-27,Restaurante,Não
C005741,47,F,PT,Porto,2024-10-06,Restaurante,Não
C001841,39,F,PT,Porto,2024-05-26,Hotel,Não
C002535,35,M,DE,,2023-12-01,Ambos,Não
C001863,54,F,PT,Outro,2024-01-20,Ambos,Sim
C005837,18,M,PT,Porto,2024-06-06,Restaurante,Não
C007774,49,M,Outro,,2023-09-03,Restaurante,Não
C006700,28,F,PT,Aveiro,2024-03-20,Restaurante,Não
C003046,18,F,PT,Faro,2023-01-28,Ambos,Sim
C002629,34,F,FR,,2023-07-07,Hotel,Não
C004229,46,M,PT,Lisboa,2024-10-01,Restaurante,Não
C006061,42,M,PT,Porto,2023-08-16,Restaurante,Sim
C004230,42,F,PT,Porto,2023-08-14,Restaurante,Não
C001282,39,M,Outro,,2024-02-14,Hotel,Não
C007741,53,F,ES,,2023-03-15,Restaurante,Não
C007289,55,M,PT,Braga,2024-12-11,Restaurante,Não
C005503,44,M,UK,,2023-04-28,Restaurante,Não
C004221,18,M,PT,Outro,2024-10-05,Restaurante,Não
C004546,51,M,PT,Lisboa,2023-05-20,Restaurante,Não
C007699,49,M,PT,Porto,2024-06-23,Restaurante,Não
C000744,42,M,PT,Porto,2023-04-27,Restaurante,Sim
C005529,39,M,PT,Lisboa,2024-05-10,Hotel,Sim
C002234,56,M,PT,Porto,2024-02-04,Ambos,Sim
C004505,38,F,PT,Outro,2023-03-16,Restaurante,Não
C006247,50,M,PT,Lisboa,2024-04-14,Hotel,Não
C006097,23,M,ES,,2024-10-16,Restaurante,Não
C007771,56,M,DE,,2024-05-29,Restaurante,Sim
C005278,21,M,PT,Porto,2024-03-31,Hotel,Não
C003616,53,M,PT,Porto,2024-01-06,Restaurante,Não
C004790,39,F,FR,,2024-02-04,Restaurante,Não
C007497,33,F,FR,,2023-06-20,Restaurante,Não
C002698,21,F,UK,,2024-04-04,Restaurante,Sim
C001702,49,M,ES,,2024-11-24,Restaurante,Não
C000997,70,M,PT,Porto,2023-06-27,Hotel,Não
C004039,41,M,DE,,2024-04-11,Restaurante,Não
C004658,26,F,ES,,2023-05-08,Hotel,Não
C007907,43,F,PT,Coimbra,2023-09-19,Restaurante,Não
C004718,60,M,ES,,2023-12-19,Ambos,Sim
C004716,41,M,PT,Faro,2023-05-24,Restaurante,Sim
C003483,36,M,ES,,2023-09-19,Hotel,Não
C006370,35,F,PT,Lisboa,2023-02-02,Restaurante,Não
C005894,18,M,PT,Porto,2024-08-21,Restaurante,Não
C005147,40,M,UK,,2024-01-06,Restaurante,Sim
C001085,48,M,PT,Faro,2024-06-01,Hotel,Não
C002267,18,F,ES,,2023-12-28,Hotel,Não
C001923,24,M,PT,Lisboa,2024-11-23,Restaurante,Não
C007224,80,F,PT,Lisboa,2023-09-12,Hotel,Não
C001047,52,M,ES,,2023-01-21,Restaurante,Sim
C001347,18,F,DE,,2024-12-18,Hotel,Não
C005923,52,M,PT,Viseu,2024-10-12,Restaurante,Não
C001177,18,F,DE,,2023-04-19,Restaurante,Não
C006283,56,M,PT,Porto,2024-03-12,Restaurante,Sim
C007037,18,M,PT,Outro,2024-08-15,Hotel,Não
C006084,44,F,UK,,2023-09-23,Restaurante,Não
C005915,38,M,ES,,2024-06-04,Restaurante,Não
C004839,63,F,Outro,,2023-01-27,Ambos,Sim
C001422,59,F,UK,,2023-03-04,Hotel,Sim
C006076,29,M,PT,Lisboa,2023-11-29,Hotel,Não
C004150,45,F,PT,Lisboa,2024-12-21,Hotel,Não
C005776,21,F,PT,Braga,2023-03-04,Restaurante,Sim
C000909,52,M,ES,,2023-07-12,Restaurante,Não
C002914,54,M,ES,,2023-06-06,Ambos,Sim
C006852,29,F,ES,,2024-03-30,Ambos,Sim
C001973,52,F,ES,,2023-11-04,Hotel,Não
C006528,41,F,ES,,2024-09-27,Hotel,Não
C007919,30,F,PT,Braga,2024-05-06,Restaurante,Sim
C003734,44,F,FR,,2023-08-19,Hotel,Não
C000394,71,F,FR,,2024-11-26,Restaurante,Não
C000684,49,M,ES,,2023-12-21,Restaurante,Não
C000231,30,M,PT,Lisboa,2023-11-28,Hotel,Não
C007948,54,M,PT,Viseu,2024-02-13,Hotel,Não
C001431,46,F,ES,,2024-12-20,Restaurante,Não
C000677,24,F,UK,,2024-07-31,Restaurante,Não
C006464,51,F,FR,,2023-01-31,Ambos,Sim
C002139,22,F,DE,,2024-11-20,Restaurante,Sim
C006927,42,M,ES,,2023-11-04,Restaurante,Sim
C000034,25,M,PT,Porto,2023-01-04,Restaurante,Sim
C002808,28,F,PT,Aveiro,2023-03-22,Restaurante,Não
C000958,49,M,ES,,2024-02-01,Restaurante,Não
C007872,72,F,ES,,2024-09-22,Ambos,Sim
C006343,39,F,PT,Coimbra,2024-03-30,Ambos,Sim
C001633,31,M,ES,,2023-03-21,Hotel,Não
C007418,27,M,ES,,2023-11-12,Restaurante,Não
C004263,54,M,PT,Lisboa,2024-06-17,Restaurante,Não
C002224,39,M,FR,,2024-05-29,Restaurante,Não
C003379,50,F,ES,,2024-12-14,Restaurante,Não
C007160,35,F,PT,Outro,2023-08-07,Restaurante,Não
C000062,39,M,PT,Lisboa,2024-02-15,Restaurante,Não
C004571,32,F,PT,Porto,2023-08-22,Hotel,Não
C001808,50,M,PT,Aveiro,2024-12-15,Hotel,Sim
C001278,48,F,PT,Porto,2024-11-03,Ambos,Sim
C007535,33,M,FR,,2024-03-29,Restaurante,Não
C003516,49,M,FR,,2024-04-17,Ambos,Sim
C000333,43,F,UK,,2024-02-13,Restaurante,Não
C006073,44,M,Outro,,2023-05-11,Ambos,Sim
C002376,65,M,PT,Faro,2024-03-03,Restaurante,Não
C007172,38,F,ES,,2024-05-01,Restaurante,Sim
C001262,43,F,PT,Lisboa,2024-08-01,Restaurante,Não
C005608,35,F,PT,Lisboa,2024-04-04,Restaurante,Não
C005304,50,F,FR,,2023-09-07,Restaurante,Não
C005628,57,F,UK,,2024-02-28,Hotel,Não
C000737,46,F,DE,,2023-08-26,Restaurante,Não
C006416,31,M,FR,,2024-04-07,Restaurante,Sim
C006089,46,M,PT,Outro,2024-06-05,Restaurante,Não
C002898,69,F,PT,Braga,2023-08-16,Restaurante,Não
C003245,39,M,FR,,2023-12-01,Restaurante,Não
C005365,38,M,FR,,2024-06-21,Hotel,Não
C003289,31,M,PT,Lisboa,2024-12-21,Restaurante,Sim
C006460,43,M,ES,,2023-03-09,Ambos,Sim
C007285,61,F,ES,,2023-11-22,Ambos,Sim
C006450,47,F,ES,,2023-01-06,Restaurante,Não
C003300,60,F,PT,Outro,2024-02-11,Restaurante,Não
C002474,19,F,PT,Lisboa,2023-10-18,Restaurante,Não
C002307,51,M,ES,,2024-02-25,Hotel,Sim
C001375,65,M,PT,Porto,2024-07-01,Restaurante,Não
C006172,44,F,ES,,2023-03-18,Restaurante,Não
C007742,39,F,FR,,2023-09-13,Restaurante,Não
C007894,25,M,ES,,2023-01-10,Ambos,Sim
C002599,61,F,ES,,2023-12-27,Restaurante,Não
C003430,59,F,PT,Lisboa,2023-01-02,Restaurante,Não
C002604,22,M,FR,,2024-03-08,Restaurante,Não
C003878,45,F,ES,,2023-02-12,Restaurante,Não
C007864,31,M,ES,,2024-01-26,Hotel,Não
C006576,60,M,ES,,2024-06-30,Restaurante,Não
C007118,36,M,FR,,2024-06-06,Restaurante,Não
C001079,66,F,PT,Viseu,2024-06-21,Restaurante,Não
C003521,50,F,PT,Lisboa,2023-09-24,Ambos,Sim
C001164,18,M,Outro,,2024-07-04,Restaurante,Sim
C006578,25,F,PT,Faro,2023-10-17,Restaurante,Não
C003833,58,F,DE,,2024-11-05,Hotel,Não
C005442,31,F,PT,Outro,2024-11-28,Hotel,Não
C000080,18,M,PT,Porto,2024-07-10,Hotel,Não
C002586,31,M,FR,,2024-07-04,Restaurante,Sim
C006907,23,F,ES,,2024-03-07,Hotel,Não
